name,hidden_dim,hidden_layers,lr,beta,epochs,mse,mae,final_loss
baseline,32,2,0.001,1.0,500,4.293359947593582,1.483273850920952,23.260618209838867
larger_hidden_dim,64,2,0.001,1.0,500,5.597822149407388,1.7665106357094262,22.842248916625977
lower_lr,32,2,0.0005,1.0,500,194.80801179723082,11.576519510146102,267.1947326660156
higher_pde_weight,32,2,0.001,10.0,500,188.7010830705346,12.318953928173299,734.0270385742188
