name,hidden_dim,hidden_layers,lr,beta,epochs,mse,mae,final_loss
baseline,32,2,0.001,1.0,500,2312.835797833588,37.17349139586407,7675.341796875
larger_hidden_dim,64,2,0.001,1.0,500,1356.684691031984,26.111751495807013,4673.68994140625
lower_lr,32,2,0.0005,1.0,500,2805.7744395382138,40.842827464217955,8990.447265625
higher_pde_weight,32,2,0.001,10.0,500,2328.6451843987134,38.03402129240618,7752.43994140625
